quarter,result,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,workcity,samecounty,samest,sscounty,ssst
2015Q3,DENIED,2581,3475,0,138630,85932080,0,1026384,208488800,5,"['54151', '61131', '54161', '62211', '62111']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SYSTEMS ANALYST', 'ASSISTANT PROFESSOR', 'COMPUTER SYSTEMS ANALYST']","['NEW YORK-NY', 'CHICAGO-IL', 'HOUSTON-TX', 'LOS ANGELES-CA', 'SAN FRANCISCO-CA', 'ATLANTA-GA', 'BROOKLYN-NY', 'PHILADELPHIA-PA', 'SAN JOSE-CA', 'SANTA CLARA-CA', 'BOSTON-MA', 'PRINCETON-NJ', 'DALLAS-TX', 'IRVINE-CA', 'MIAMI-FL', 'SAN DIEGO-CA', 'SEATTLE-WA', 'TAMPA-FL', 'HERNDON-VA', 'IRVING-TX']","['NEW YORK-NY', 'CHICAGO-IL', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'LOS ANGELES-CA', 'SAN JOSE-CA', 'ATLANTA-GA', 'WASHINGTON-DC', 'MIAMI-FL', 'BROOKLYN-NY', 'SAN DIEGO-CA', 'BOSTON-MA', 'SAN ANTONIO-TX', 'SUNNYVALE-CA', 'DALLAS-TX', 'IRVINE-CA', 'JERSEY CITY-NJ', 'SEATTLE-WA', 'PHILADELPHIA-PA', 'PHOENIX-AZ']",1850,2038,71.68,78.96
2015Q3,WITHDRAWN,3614,4366,21840,505230,520000000,16952,74907,304831,157,"['54151', '61131', '54133', '62211', '54161']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SOFTWARE DEVELOPER', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST']","['NEW YORK-NY', 'SANTA CLARA-CA', 'PLANO-TX', 'EDISON-NJ', 'HOUSTON-TX', 'DURHAM-NC', 'SAN JOSE-CA', 'CHICAGO-IL', 'SAN DIEGO-CA', 'SEATTLE-WA', 'SAN FRANCISCO-CA', 'EXTON-PA', 'PALO ALTO-CA', 'ATLANTA-GA', 'ROCKVILLE-MD', 'BOSTON-MA', 'EAST BRUNSWICK-NJ', 'LOS ANGELES-CA', 'MOUNTAIN VIEW-CA', 'IRVINE-CA']","['NEW YORK-NY', 'SANTA CLARA-CA', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'SEATTLE-WA', 'CHICAGO-IL', 'ATLANTA-GA', 'PALO ALTO-CA', 'SAN DIEGO-CA', 'SAN JOSE-CA', 'IRVINE-CA', 'BELLEVUE-WA', 'SUNNYVALE-CA', 'REDMOND-WA', 'BOSTON-MA', 'LOS ANGELES-CA', 'DALLAS-TX', 'MOUNTAIN VIEW-CA', 'AUSTIN-TX', 'JERSEY CITY-NJ']",1897,2184,52.49,60.43
2015Q4,CERTIFIED,97273,201388,18003,90161,1800000,15080,76055,575000,5,"['54151', '61131', '54161', '5416', '54133']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST', 'DEVELOPER']","['PLANO-TX', 'NEW YORK-NY', 'ROCKVILLE-MD', 'CHICAGO-IL', 'EDISON-NJ', 'EAST BRUNSWICK-NJ', 'PHILADELPHIA-PA', 'SUNNYVALE-CA', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'DURHAM-NC', 'TAMPA-FL', 'ISELIN-NJ', 'IRVING-TX', 'SAN JOSE-CA', 'RICHARDSON-TX', 'DALLAS-TX', 'PISCATAWAY-NJ', 'TROY-MI', 'SANTA CLARA-CA']","['NEW YORK-NY', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'ATLANTA-GA', 'CHICAGO-IL', 'SAN JOSE-CA', 'SUNNYVALE-CA', 'CHARLOTTE-NC', 'BOSTON-MA', 'REDMOND-WA', 'JERSEY CITY-NJ', 'SEATTLE-WA', 'DALLAS-TX', 'IRVING-TX', 'PHOENIX-AZ', 'PHILADELPHIA-PA', 'AUSTIN-TX', 'MOUNTAIN VIEW-CA', 'LOS ANGELES-CA', 'SAN DIEGO-CA']",37298,45400,38.34,46.67
2015Q4,CERTIFIED-WITHDRAWN,12929,14254,17534,99193,137280000,16610,73558,279230,293,"['54151', '61131', '52311', '54133', '51121']","['SOFTWARE ENGINEER', 'PROGRAMMER ANALYST', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST', 'SOFTWARE DEVELOPER']","['NEW YORK-NY', 'MOUNTAIN VIEW-CA', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'TROY-MI', 'EAST BRUNSWICK-NJ', 'FREMONT-CA', 'CHICAGO-IL', 'SANTA CLARA-CA', 'ATLANTA-GA', 'PLANO-TX', 'PISCATAWAY-NJ', 'BOSTON-MA', 'ROUND ROCK-TX', 'ADDISON-TX', 'ALPHARETTA-GA', 'SAN JOSE-CA', 'DALLAS-TX', 'IRVING-TX', 'SUNNYVALE-CA']","['NEW YORK-NY', 'MOUNTAIN VIEW-CA', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'SAN JOSE-CA', 'SUNNYVALE-CA', 'ATLANTA-GA', 'BOSTON-MA', 'CHICAGO-IL', 'ALPHARETTA-GA', 'PLANO-TX', 'AUSTIN-TX', 'SANTA CLARA-CA', 'ADDISON-TX', 'CAMBRIDGE-MA', 'COLUMBUS-OH', 'SEATTLE-WA', 'MILPITAS-CA', 'PHILADELPHIA-PA', 'REDWOOD CITY-CA']",7662,8755,59.26,67.72
2015Q4,DENIED,1828,3113,16640,90715,1000000,15080,1066699,280610720,4,"['54151', '61131', '54161', '62211', '54133']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SOFTWARE DEVELOPER', 'COMPUTER PROGRAMMER', 'PHYSICAL THERAPIST']","['NEW YORK-NY', 'HOUSTON-TX', 'CHICAGO-IL', 'PHILADELPHIA-PA', 'TAMPA-FL', 'EAST BRUNSWICK-NJ', 'LOS ANGELES-CA', 'ATLANTA-GA', 'BOSTON-MA', 'MOUNTAIN VIEW-CA', 'IRVING-TX', 'SAN JOSE-CA', 'SAN FRANCISCO-CA', 'BROOKLYN-NY', 'EDISON-NJ', 'IRVINE-CA', 'DURHAM-NC', 'MIAMI-FL', 'SEATTLE-WA', 'AUSTIN-TX']","['NEW YORK-NY', 'HOUSTON-TX', 'LOS ANGELES-CA', 'CHICAGO-IL', 'SAN FRANCISCO-CA', 'BOSTON-MA', 'BROOKLYN-NY', 'IRVING-TX', 'SAN JOSE-CA', 'PLANO-TX', 'AUSTIN-TX', 'ATLANTA-GA', 'JERSEY CITY-NJ', 'WASHINGTON-DC', 'MOUNTAIN VIEW-CA', 'SANTA CLARA-CA', 'BELLEVUE-WA', 'CHARLOTTE-NC', 'PHILADELPHIA-PA', 'PITTSBURGH-PA']",1077,1244,58.92,68.05
2015Q4,WITHDRAWN,4041,5337,30000,14050164,55000106500,16952,76313,250000,166,"['54151', '61131', '33441', '52311', '45411']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'PHYSICAL THERAPIST', 'COMPUTER PROGRAMMER', 'SENIOR SOFTWARE ENGINEER']","['NEW YORK-NY', 'SANTA CLARA-CA', 'DURHAM-NC', 'HOUSTON-TX', 'EDISON-NJ', 'SEATTLE-WA', 'SUNNYVALE-CA', 'PLANTATION-FL', 'CHICAGO-IL', 'PLANO-TX', 'SAN JOSE-CA', 'IRVING-TX', 'SAN FRANCISCO-CA', 'ALISO VIEJO-CA', 'ROUND ROCK-TX', 'MILPITAS-CA', 'STAMFORD-CT', 'ATLANTA-GA', 'NASHVILLE-TN', 'BOSTON-MA']","['NEW YORK-NY', 'HOUSTON-TX', 'SEATTLE-WA', 'SAN FRANCISCO-CA', 'SUNNYVALE-CA', 'SANTA CLARA-CA', 'SAN JOSE-CA', 'AUSTIN-TX', 'CHICAGO-IL', 'ATLANTA-GA', 'MALTA-NY', 'SAN DIEGO-CA', 'HILLSBORO-OR', 'CHARLOTTE-NC', 'BOSTON-MA', 'DALLAS-TX', 'IRVING-TX', 'LOS ANGELES-CA', 'COLUMBUS-IN', 'MOUNTAIN VIEW-CA']",1949,2305,48.23,57.04
2016Q1,CERTIFIED,75035,218076,7800,60773,83200000,15600,78080,338525,6,"['54151', '61131', '54161', '51121', '54121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SYSTEMS ANALYST', 'SOFTWARE DEVELOPER', 'COMPUTER PROGRAMMER']","['PLANO-TX', 'NEW YORK-NY', 'DURHAM-NC', 'EAST BRUNSWICK-NJ', 'CHICAGO-IL', 'PHILADELPHIA-PA', 'ROCKVILLE-MD', 'EDISON-NJ', 'SAN FRANCISCO-CA', 'REDMOND-WA', 'SECAUCUS-NJ', 'SAN JOSE-CA', 'COLLEGE STATION-TX', 'SUNNYVALE-CA', 'HOUSTON-TX', 'SANTA CLARA-CA', 'TAMPA-FL', 'SEATTLE-WA', 'MOUNTAIN VIEW-CA', 'IRVING-TX']","['NEW YORK-NY', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'ATLANTA-GA', 'SAN JOSE-CA', 'CHICAGO-IL', 'REDMOND-WA', 'SUNNYVALE-CA', 'SEATTLE-WA', 'BOSTON-MA', 'CHARLOTTE-NC', 'MOUNTAIN VIEW-CA', 'DALLAS-TX', 'PHOENIX-AZ', 'BELLEVUE-WA', 'IRVING-TX', 'AUSTIN-TX', 'PHILADELPHIA-PA', 'SAN DIEGO-CA', 'JERSEY CITY-NJ']",29128,34845,38.82,46.44
2016Q1,CERTIFIED-WITHDRAWN,8922,10967,11000,96967,187967520,16590,72725,411200,5,"['54151', '61131', '33441', '52311', '51121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'ASSISTANT PROFESSOR', 'SOFTWARE DEVELOPER', 'SYSTEMS ANALYST']","['NEW YORK-NY', 'HOUSTON-TX', 'CHICAGO-IL', 'SAN FRANCISCO-CA', 'PISCATAWAY-NJ', 'MOUNTAIN VIEW-CA', 'DURHAM-NC', 'IRVING-TX', 'IRVINE-CA', 'EDISON-NJ', 'ISELIN-NJ', 'DALLAS-TX', 'PLANO-TX', 'EAST BRUNSWICK-NJ', 'ATLANTA-GA', 'SUNNYVALE-CA', 'BOSTON-MA', 'CAMBRIDGE-MA', 'CUPERTINO-CA', 'SAN JOSE-CA']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'SUNNYVALE-CA', 'CHICAGO-IL', 'MOUNTAIN VIEW-CA', 'SAN JOSE-CA', 'BOSTON-MA', 'ATLANTA-GA', 'PISCATAWAY-NJ', 'SANTA CLARA-CA', 'AUSTIN-TX', 'NAPERVILLE-IL', 'CAMBRIDGE-MA', 'DALLAS-TX', 'PHILADELPHIA-PA', 'PHOENIX-AZ', 'PITTSBURGH-PA', 'IRVINE-CA', 'SAN DIEGO-CA']",5087,5930,57.02,66.46
2016Q1,DENIED,1236,2162,0,312006,233497680,0,1177294,218915840,4,"['54151', '61131', '54161', '54133', '54121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SOFTWARE DEVELOPER', 'PHYSICAL THERAPIST', 'SYSTEMS ANALYST']","['NEW YORK-NY', 'DURHAM-NC', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'CHICAGO-IL', 'PHILADELPHIA-PA', 'LOS ANGELES-CA', 'SAN JOSE-CA', 'TAMPA-FL', 'MOUNTAIN VIEW-CA', 'WASHINGTON-DC', 'SAN DIEGO-CA', 'SECAUCUS-NJ', 'DALLAS-TX', 'BOSTON-MA', 'ATLANTA-GA', 'SANTA CLARA-CA', 'EDISON-NJ', 'MECHANICSBURG-PA', 'PORTLAND-OR']","['NEW YORK-NY', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'CHICAGO-IL', 'LOS ANGELES-CA', 'SAN JOSE-CA', 'ATLANTA-GA', 'WASHINGTON-DC', 'SANTA CLARA-CA', 'PORTLAND-OR', 'SAN DIEGO-CA', 'MOUNTAIN VIEW-CA', 'DALLAS-TX', 'PLANO-TX', 'BROOKLYN-NY', 'PALO ALTO-CA', 'BOSTON-MA', 'PHILADELPHIA-PA', 'SEATTLE-WA', 'PHOENIX-AZ']",759,849,61.41,68.69
2016Q1,WITHDRAWN,3911,18942,12147,170198,219544000,17040,74178,266240,152,"['54151', '61131', '54133', '51121', '45411']","['SYSTEM ANALYST JC65', 'SOFTWARE ENGINEER', 'PROGRAMMER ANALYST', 'SENIOR SYSTEMS ANALYST JC60', 'SYSTEMS ANALYST JC65']","['DURHAM-NC', 'COLLEGE STATION-TX', 'NEW YORK-NY', 'RTP-NC', 'EDISON-NJ', 'ISELIN-NJ', 'SANTA CLARA-CA', 'HOUSTON-TX', 'SEATTLE-WA', 'ALISO VIEJO-CA', 'MOUNTAIN VIEW-CA', 'MILPITAS-CA', 'NASHVILLE-TN', 'SAN FRANCISCO-CA', 'CHICAGO-IL', 'SUNNYVALE-CA', 'IRVING-TX', 'PLANO-TX', 'PISCATAWAY-NJ', 'SAN JOSE-CA']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'CHICAGO-IL', 'SEATTLE-WA', 'ATLANTA-GA', 'SAN JOSE-CA', 'SUNNYVALE-CA', 'PHOENIX-AZ', 'DALLAS-TX', 'SANTA CLARA-CA', 'BOSTON-MA', 'CHARLOTTE-NC', 'AUSTIN-TX', 'LOS ANGELES-CA', 'MOUNTAIN VIEW-CA', 'MIDDLETOWN-NJ', 'PALO ALTO-CA', 'COLUMBUS-IN', 'FOSTER CITY-CA']",1317,1618,33.67,41.37
